"Type","Host","Value","Status"
"CNAME","sports","gossm-d-gkc8d3h6hac2dmct.eastus2-01.azurewebsites.net",""
"TXT","asuid.sports","1B127EDA6E964390DDB788F5936C0CA084749F9BEE07233DF64A9C0DEAB99C0C",""
